Home Team,Away Team
Arsenal,Brest
Arsenal,Leverkusen
Aston Villa,Brest
Atalanta,Barcelona
Atleti,Man City
Barcelona,Atalanta
Barcelona,Leipzig
Barcelona,Bayern München
Bayern München,Barcelona
Bayern München,Juventus
Bayern München,Young Boys
Benfica,Crvena Zvezda
Benfica,Paris
Benfica,Salzburg
Benfica,Shakhtar
Bologna,Leipzig
Bologna,Sporting CP
Borussia Dortmund,Salzburg
Borussia Dortmund,Lille
Brest,Arsenal
Brest,Aston Villa
Brest,Crvena Zvezda
Brest,Inter
Celtic,Shakhtar
Celtic,GNK Dinamo
Celtic,PSV
Club Brugge,Real Madrid
Crvena Zvezda,Benfica
Crvena Zvezda,Brest
Crvena Zvezda,Liverpool
Feyenoord,Milan
GNK Dinamo,Celtic
Girona,Juventus
Girona,Milan
Inter,Brest
Juventus,Girona
Juventus,Bayern München
Leipzig,Barcelona
Leipzig,Bologna
Leipzig,Real Madrid
Leverkusen,Arsenal
Leverkusen,Liverpool
Lille,Borussia Dortmund
Lille,Man City
Lille,Sparta Praha
Liverpool,Crvena Zvezda
Liverpool,Leverkusen
Liverpool,Sturm Graz
Man City,Atleti
Man City,Lille
Man City,Real Madrid
Milan,Feyenoord
Milan,Girona
Monaco,Young Boys
Monaco,S. Bratislava
PSV,Celtic
Paris,Benfica
Real Madrid,Club Brugge
Real Madrid,Leipzig
Real Madrid,Man City
S. Bratislava,Monaco
Salzburg,Borussia Dortmund
Salzburg,Benfica
Shakhtar,Celtic
Shakhtar,Benfica
Sparta Praha,Lille
Sparta Praha,Stuttgart
Sporting CP,Bologna
Sturm Graz,Liverpool
Stuttgart,Sparta Praha
Young Boys,Monaco
Young Boys,Bayern München
