team,country,group
Arsenal, ENG,2
Aston Villa, ENG,1
Atalanta, ITA,2
Atleti, ESP,2
Borussia Dortmund, GER,1
Barcelona, ESP,1
Bayern München, GER,1
Benfica, POR,2
Bologna, ITA,4
Brest, FRA,4
Celtic, SCO,3
Club Brugge, BEL,2
Crvena Zvezda, SRB,3
Feyenoord, NED,3
Girona,ESP,4
GNK Dinamo, CRO,3
Inter, ITA,1
Juventus, ITA,2
Leipzig, GER,1
Leverkusen, GER,2
Lille, FRA,3
Liverpool, ENG,1
Man City, ENG,1
Milan, ITA,2
Monaco, FRA,4
Paris, FRA,1
PSV, NED,3
Real Madrid, ESP,1
S. Bratislava, SVK,4
Salzburg, AUT,3
Shakhtar, UKR,2
Sparta Praha, CZE,4
Sporting CP, POR,3
Sturm Graz, AUT,4
Stuttgart, GER,4
Young Boys, SUI,3
